transaction_id,store_id,sale_date,product_category,quantity,supplier,region,unit_cost,unit_price,inventory_level,labour_hours,labour_cost,revenue,gross_profit
T000571,S06,2025-06-27,Sports,2,ActivePro,East,59.53,121.7,31.0,2.76,73.19,243.4,124.34
T000763,S18,2025-02-14,Beauty,2,GlowWorks,West,17.62,40.84,10.0,,119.32,81.68,46.44
T000623,S03,,Electronics,1,NorthStar,North,235.26,308.8,145.0,4.66,103.05,308.8,73.54
T000827,S27,2025-01-06,Grocery,2,FreshFarm,West,6.41,10.74,14.0,4.56,125.6,21.48,8.66
T000175,S01,2025-05-06,Electronics,8,NorthStar,East,231.33,289.13,48.0,5.34,113.35,2313.04,462.4
T000865,S24,2025-01-04,Electronics,4,NorthStar,West,254.64,340.15,63.0,3.55,99.26,1360.6,342.04
T001088,S27,2025-01-26,Home,2,BudgetSource,West,51.48,100.44,19.0,4.22,134.57,200.88,97.92
T001320,S03,2025-05-13,Beauty,7,GlowWorks,North,16.24,32.2,83.0,4.21,86.04,225.4,111.72
T002753,S18,2025-06-01,Electronics,1,NorthStar,West,220.57,296.03,50.0,3.75,97.26,296.03,75.46
T002610,S28,2025-04-02,Electronics,4,NorthStar,West,251.66,330.6,20.0,5.68,189.79,1322.4,315.76
T001297,S05,2025-01-07,Apparel,9,StyleHub,East,32.07,60.07,76.0,5.06,136.2,540.63,252.0
T002840,S12,2025-04-04,Home,1,BudgetSource,South,54.64,102.4,105.0,3.81,82.44,102.4,47.76
T002834,S24,2025-04-07,Grocery,,FreshFarm,West,8.26,12.41,15.0,2.83,76.99,,
T001688,S21,2025-05-21,Sports,1,ActivePro,North,51.98,109.39,155.0,4.78,105.4,109.39,57.41
T001074,S15,2025-06-13,Home,2,BudgetSource,East,48.34,83.97,121.0,5.82,149.65,167.94,71.26
T002179,S11,2025-05-08,Sports,1,ActivePro,South,54.9,102.65,146.0,5.51,131.19,102.65,47.75
T002172,S23,2025-02-20,Apparel,4,StyleHub,South,25.66,45.52,147.0,3.23,77.89,182.08,79.44
T002437,S16,2025-04-06,Electronics,3,NorthStar,South,250.46,302.1,73.0,5.33,108.95,906.3,154.92
T001923,S20,2025-06-22,Apparel,4,StyleHub,South,26.07,57.32,24.0,3.73,83.24,229.28,125.0
T000431,S02,2025-06-02,Apparel,2,StyleHub,South,27.89,57.69,123.0,,147.45,115.38,59.6
T000267,S05,2025-04-19,Apparel,1,StyleHub,East,,67.58,56.0,4.6,105.14,67.58,
T002391,S22,2025-05-11,Home,3,BudgetSource,South,48.11,87.49,20.0,4.48,106.24,262.47,118.14
T002716,S10,2025-03-22,Apparel,3,StyleHub,South,25.13,58.29,40.0,4.08,106.33,174.87,99.48
T000433,S23,2025-03-08,Electronics,3,,South,261.58,358.64,120.0,4.24,120.88,1075.92,291.18
T002422,S23,2025-04-26,Electronics,7,NorthStar,South,227.77,292.4,,4.18,97.25,2046.8,452.41
T002283,S12,2025-05-05,Home,2,BudgetSource,South,39.15,74.58,35.0,4.4,107.59,149.16,70.86
T000637,S16,2025-01-26,Sporting Goods,3,ActivePro,South,64.62,112.33,139.0,4.74,105.82,336.99,143.13
T000861,S07,2025-05-13,Grocery,1,FreshFarm,North,7.19,10.82,89.0,4.34,123.55,10.82,3.63
T000046,S13,2025-01-29,Grocery,3,FreshFarm,East,8.95,12.99,68.0,4.06,114.17,38.97,12.12
T002077,S27,2025-02-18,Sports,2,ActivePro,West,53.37,97.17,0.0,6.96,156.29,194.34,87.6
T001249,S18,2025-02-21,Apparel,1,StyleHub,West,23.4,44.46,3.0,4.56,121.99,44.46,21.06
T000118,S12,2025-01-21,Sports,3,ActivePro,South,51.85,97.71,70.0,4.82,104.85,293.13,137.58
T002434,S26,2025-01-10,Home,1,BudgetSource,West,41.19,84.52,1.0,5.49,144.36,84.52,43.33
T001303,S19,2025-01-06,Apparel,2,StyleHub,South,27.26,55.32,87.0,3.29,89.68,110.64,56.12
T000828,S28,2025-01-14,Beauty,1,GlowWorks,West,15.93,37.4,25.0,4.08,116.66,37.4,21.47
T000414,S08,2025-02-08,Electronics,,NorthStar,South,251.46,332.67,114.0,4.61,135.92,,
T002146,S06,2025-01-06,Home,2,BudgetSource,East,47.46,83.14,144.0,4.28,89.09,166.28,71.36
T001548,S04,2025-06-01,Sports,3,ActivePro,East,51.45,91.78,88.0,3.52,84.3,275.34,120.99
T002304,S01,2025-06-13,Beauty,2,GlowWorks,East,19.59,43.74,85.0,5.2,108.74,87.48,48.3
T001792,S23,2025-01-10,Sports,3,ActivePro,South,55.19,96.37,21.0,5.18,97.07,289.11,123.54
T001803,S08,2025-06-03,Electronics,3,NorthStar,South,219.75,307.87,156.0,5.24,132.75,923.61,264.36
T000518,S15,2025-02-14,Beauty,1,GlowWorks,East,18.45,41.3,21.0,4.74,108.7,41.3,22.85
T000273,S12,2025-05-22,Home,1,BudgetSource,South,45.48,88.67,15.0,6.66,195.42,88.67,43.19
T001719,S09,2025-01-11,Groceries,4,FreshFarm,East,7.05,11.23,64.0,4.59,102.15,44.92,16.72
T000683,S14,2025-02-14,Beauty,3,GlowWorks,West,15.77,37.28,54.0,2.17,56.15,111.84,64.53
T001915,S27,2025-03-25,Sports,4,ActivePro,West,51.91,92.08,20.0,5.38,159.75,368.32,160.68
T000280,S21,2025-05-10,Beauty,1,GlowWorks,North,,31.92,26.0,6.45,178.93,31.92,
T002640,S21,2025-06-01,Sports,3,ActivePro,North,57.29,117.06,56.0,5.29,136.15,351.18,179.31
T001873,S14,2025-01-25,Apparel,4,StyleHub,West,27.03,50.95,40.0,5.47,160.08,203.8,95.68
T001685,S05,2025-02-26,Apparel,1,StyleHub,East,24.95,52.55,44.0,3.1,69.58,52.55,27.6
T002755,S28,2025-04-05,Apparel,2,StyleHub,West,29.92,57.1,16.0,3.94,106.67,114.2,54.36
T001286,S29,2025-01-22,Beauty,2,GlowWorks,West,17.65,38.88,11.0,4.25,131.26,77.76,42.46
T001989,S16,2025-01-09,Electronics,3,NorthStar,South,225.05,324.63,47.0,5.22,162.34,973.89,298.74
T000107,S25,2025-06-23,Beauty,3,GlowWorks,West,16.83,37.59,34.0,3.09,84.71,112.77,62.28
T000740,S16,2025-06-27,Grocery,3,FreshFarm,South,8.22,12.2,154.0,5.24,138.02,36.6,11.94
T000288,S04,2025-06-23,Home,3,BudgetSource,East,43.3,87.18,134.0,5.64,133.82,261.54,131.64
